LCSC Part Number,Customer Part Number,Quantity
C518922,Lily_Pad_VGA_U1,1
C544774,Lily_Pad_VGA_U2,1
C5397298,Lily_Pad_VGA_J1,1
C238157,Lily_Pad_VGA_Jackscrew,2
C471412,Lily_Pad_VGA_J2,1
C2939171,Lily_Pad_VGA_J3,1
C22442695,Lily_Pad_VGA_UFL,4
C112309,Lily_Pad_VGA_R1-6,6
C137690,Lily_Pad_VGA_R7,1
C22548,Lily_Pad_VGA_R8,1
C86295,Lily_Pad_VGA_C1,1
C1591,Lily_Pad_VGA_C2-6,5
C125094,Lily_Pad_VGA_LED1,1
